lambda_m,alpha_max
0.00015356091289351495,0.008451042757649919
0.00015643621952343267,0.008451042757649919
0.00015936536399567818,0.00788878221655667
0.0001623493543812641,0.00788878221655667
0.0001653892176265356,0.0073639297119787155
0.00016848599990659582,0.0073639297119787155
0.00017164076698534904,0.006873996431179507
0.00017485460458228615,0.006873996431179507
0.00017812861874613622,0.006416659145864126
0.00018146393623551607,0.006416659145864126
0.00018486170490670623,0.005989749195598086
0.00018832309410868862,0.005989749195598086
0.00019184929508557944,0.005591242204176077
0.00019544152138659888,0.005591242204176077
0.0001991010092837161,0.005591242204176077
0.00020282901819711574,0.005219248480175836
0.00020662683112862852,0.005219248480175836
0.00021049575510327987,0.005219248480175836
0.00021443712161910492,0.004872004056177698
0.0002184522871053864,0.004872004056177698
0.00022254263338947216,0.004872004056177698
0.00022670956817233482,0.004547862324158259
0.0002309545255130336,0.004547862324158259
0.00023527896632224947,0.004547862324158259
0.00023968437886506016,0.004547862324158259
0.00024417227927313047,0.004245286227393852
0.0002487442120664907,0.004245286227393852
0.00025340175068508717,0.004245286227393852
0.0002581464980302845,0.004245286227393852
0.00026298008701650826,0.003962840971848376
0.00026790418113321413,0.003962840971848376
0.0002729204750173822,0.003962840971848376
0.00027803069503673034,0.003962840971848376
0.00028323659988384553,0.0036991872224834336
0.0002885399811814427,0.0036991872224834336
0.00029394266409895497,0.0036991872224834336
0.00029944650798066933,0.0036991872224834336
0.00030505340698562365,0.0036991872224834336
0.00031076529073948637,0.0036991872224834336
0.00031658412499863944,0.0036991872224834336
0.00032251191232669834,0.0036991872224834336
0.0003285506927836984,0.0036991872224834336
0.00033470254462818503,0.003962840971848376
0.00034096958503245216,0.003962840971848376
0.00034735397081116915,0.003962840971848376
0.00035385789916365446,0.003962840971848376
0.00036048360843004537,0.003962840971848376
0.00036723337886162893,0.003962840971848376
0.00037410953340559277,0.0036991872224834336
0.00038111443850447324,0.0036991872224834336
0.0003882505049105725,0.0036991872224834336
0.00039552018851562136,0.0036991872224834336
0.00040292599119598146,0.0036991872224834336
0.00041047046167367,0.0036991872224834336
0.0004181561963935079,0.0036991872224834336
0.0004259858404166926,0.0036991872224834336
0.0004339620883310991,0.003008883104111412
0.0004420876851786293,0.003008883104111412
0.0004503654273999237,0.003008883104111412
0.0004587981637967616,0.00280869760147949
0.00046738879651248184,0.00280869760147949
0.0004761402820307633,0.00280869760147949
0.0004850556321931016,0.00280869760147949
0.0004941379152353427,0.00280869760147949
0.0005033902568436212,0.002621830740375793
0.0005128158412300738,0.002621830740375793
0.0005224179122286892,0.002621830740375793
0.000532199774411682,0.002621830740375793
0.0005421647942267689,0.002621830740375793
0.0005523164011557358,0.002621830740375793
0.000562658088894703,0.002621830740375793
0.0005731934165564864,0.002621830740375793
0.0005839260098954763,0.002621830740375793
0.000594859562555444,0.002621830740375793
0.0006059978373407193,0.00280869760147949
0.0006173446675111672,0.00280869760147949
0.0006289039581014114,0.00280869760147949
0.0006406796872647599,0.00280869760147949
0.0006526759076422942,0.00280869760147949
0.0006648967477575968,0.00280869760147949
0.0006773464134375863,0.00280869760147949
0.0006900291892599645,0.002621830740375793
0.0007029494400277606,0.002621830740375793
0.0007161116122714906,0.002621830740375793
0.0007295202357794351,0.00280869760147949
0.0007431799251565768,0.003008883104111412
0.0007570953814127295,0.003008883104111412
0.0007712713935803945,0.003008883104111412
0.0007857128403629199,0.003008883104111412
0.0008004246918135138,0.00280869760147949
0.0008154120110457021,0.00280869760147949
0.000830679955975804,0.0019906885672672093
0.0008462337810980431,0.0017346132433806102
0.0008620788392928907,0.0017346132433806102
0.0008782205836692712,0.0017346132433806102
0.0008946645694412602,0.0016759169434907833
0.0009114164558399218,0.001619206824459372
0.0009284820080609482,0.001619206824459372
0.0009458670992487582,0.001619206824459372
