lambda_m,m_c_eV,alpha_max,theta_max_rad,kappa_vc_max_GeV
0.00016848599990659582,0.0011711773115237638,0.0073639297119787155,2.043406197719996e-17,1.2978951967225586e-15
0.00017164076698534904,0.0011496510057942323,0.006873996431179507,1.974260880493917e-17,1.253976677142986e-15
0.00017485460458228615,0.0011285203547907624,0.006873996431179507,1.974260880493917e-17,1.253976677142986e-15
0.00017812861874613622,0.0011077780863569414,0.006416659145864126,1.907455320727533e-17,1.2115442839986872e-15
0.00018146393623551607,0.0010874170619990069,0.006416659145864126,1.907455320727533e-17,1.2115442839986872e-15
0.00018486170490670623,0.0010674302744291177,0.005989749195598086,1.8429103450915383e-17,1.170547729351841e-15
0.00018832309410868862,0.0010478108451537807,0.005989749195598086,1.8429103450915383e-17,1.170547729351841e-15
0.00019184929508557944,0.0010285520221066076,0.005591242204176077,1.780549459344612e-17,1.1309384269211203e-15
0.00019544152138659888,0.0010096471773245745,0.005591242204176077,1.780549459344612e-17,1.1309384269211203e-15
0.0001991010092837161,0.0009910898046669963,0.005591242204176077,1.780549459344612e-17,1.1309384269211203e-15
0.00020282901819711574,0.0009728735175764217,0.005219248480175836,1.7202987576777193e-17,1.092669434500584e-15
0.00020662683112862852,0.0009549920468806917,0.005219248480175836,1.7202987576777193e-17,1.092669434500584e-15
0.00021049575510327987,0.0009374392386353891,0.005219248480175836,1.7202987576777193e-17,1.092669434500584e-15
0.00021443712161910492,0.0009202090520059448,0.004872004056177698,1.6620868351260604e-17,1.05569539832702e-15
0.0002184522871053864,0.0009032955571886732,0.004872004056177698,1.6620868351260604e-17,1.05569539832702e-15
0.00022254263338947216,0.0008866929333700199,0.004872004056177698,1.6620868351260604e-17,1.05569539832702e-15
0.00022670956817233482,0.0008703954667233125,0.004547862324158259,1.605844702944846e-17,1.0199724993298057e-15
0.0002309545255130336,0.000854397548442341,0.004547862324158259,1.605844702944846e-17,1.0199724993298057e-15
0.00023527896632224947,0.0008386936728110723,0.004547862324158259,1.605844702944846e-17,1.0199724993298057e-15
0.00023968437886506016,0.0008232784353088486,0.004547862324158259,1.605844702944846e-17,1.0199724993298057e-15
0.00024417227927313047,0.0008081465307504074,0.004245286227393852,1.5515057068486053e-17,9.854584011995714e-16
0.0002487442120664907,0.000793292751460096,0.004245286227393852,1.5515057068486053e-17,9.854584011995714e-16
0.00025340175068508717,0.0007787119854796362,0.004245286227393852,1.5515057068486053e-17,9.854584011995714e-16
0.0002581464980302845,0.0007643992148088352,0.004245286227393852,1.5515057068486053e-17,9.854584011995714e-16
0.00026298008701650826,0.0007503495136786271,0.003962840971848376,1.4990054480171408e-17,9.521122002141393e-16
0.00026790418113321413,0.0007365580468558647,0.003962840971848376,1.4990054480171408e-17,9.521122002141393e-16
0.0002729204750173822,0.0007230200679792614,0.003962840971848376,1.4990054480171408e-17,9.521122002141393e-16
0.00027803069503673034,0.0007097309179259195,0.003962840971848376,1.4990054480171408e-17,9.521122002141393e-16
0.00028323659988384553,0.0006966860232078877,0.0036991872224834336,1.4482817067744984e-17,9.198943767622577e-16
0.0002885399811814427,0.0006838808943981832,0.0036991872224834336,1.4482817067744984e-17,9.198943767622577e-16
0.00029394266409895497,0.0006713111245857473,0.0036991872224834336,1.4482817067744984e-17,9.198943767622577e-16
